What are the factors that influence your learning pace and how much time you spend?,
21446,"Work, responsibilities, chores, personal circumstances."
21447,"Workload at work
Internet availability 
Other resources availability like electricity"
21449,My schedule and mood
21450,The length of time it takes me to learn a topic is directly proportional to its difficulty level.
21457,My project(s) and the problems I face 
21459,Motivation.
21462,Being enrolled at uni
21466,"The amount of coursework I have left to do, and depending on if i have any assignments or exams"
21471,Difficulty of content
21475,Deadline 
21477,main job
21479,My workload
21483,School committments make it difficult to commit time to self-learning
21489,Le projet 
21495,"Workload, my current life situation, and mental health (there were a lot of problems in the last two years due to international politics)"
21497,"External factors like chores
The amount of learning content
The difficulty of the learning material"
21498,General life commitments
21501,Concentration
21506,Any non study related work disrupts my focus and it takes lot of time regain it
21512,????
21516,Deadlines
21517,I don't like following rules or a very strict plan. I would rather adapt to whatever is faced.
21518,The time I get exposed to the studies and the nature of the person whose tutoring me through the course 
21525,家務事 太多
21527,La relevancia del tema y la forma en que se orienta
21532,Falta de tiempo principalmente 
21536,La vida familiar
21543,"Trabajo, compromisos familiares"
21545,Mes disponibilités 
21550,"such as housework, walking with my girlfriend, meeting, skive off work"
21552,Influye mucho los tiempos de la facultad 
21555,El tiempo libre para asignarle a cada cosa que deseo aprender.
21560,"Los plazos que indica la universidad para entregar determinados proyectos, o los exámenes"
21564,My own lack of self discipline 
21566,How bad burnout is
21567,I work 6 days a week and for 8hrs. Can mostly study 2am-4am 
21576,College schedules and other mandatory offline activities 
21578,Due dates on assignments.
21583,Availability of time and the concepts to grasp
21593,"Workload at work
Absence of disturbances"
21594,Les problèmes rencontrés 
21603,laziness and not committed 
21612,Factors are mostly external in for of available time or task being due
21615,Documentação boa e gasto 8hrs
21618,"A lot, weather, sleep, noice and hunger. Aswell as adhd"
21631,Soy padre de familia. Quiero tener la mayor cantidad de tiempo disponible para dedicarle a mis hijos.
21632,Mon humeur
21635,Sometimes some topics are too hard to understand so I stop studying it for a while (I think) and then suddenly it could pass few weeks or months.. and then I have to start sometimes even from the beginning which happened several times already with learning programming in Kotlin.
21636,Mis necesidades laborales
21637,I make sure I did something else during a day or night before I sleep and doing 2 or 3 different tasks giving each task a minimum of 1 hour
21640,El trabajo y siempre siento con ganas
21645,건강
21647,If a topic seems rather complicated for me I prefer to save it for another day and read it again with a fresh look
21648,"If anything big is coming up that depends on that knowledge, like a big internship interview or hackathon"
21650,Family
21652,Motivation et Vie sociale 
21653,"My motivation  is the primary factor, and i spent 2/3 hs per Day "
21654,"My curiosity with the topic, and the overall complexity of the subject matter. When I start feeling stuck, I can lose motivation and study less (which might lead to me being /more/ stuck...), though having others available to help certainly is of monumental aid in such moments, and can even increase my time spent learning."
21656,"How interesting the subject is to me, and how much it fits me or will help me in the near future."
21657,"I suggest it would be explained better in relation to The Theory of Plannes Behavior
"
21665,My interest in what I am learning influences my learning pace.
21673,The complexity of the concept 
21675,Environment is big factor when I strictly turn off the distractions then I better get into flow state
21676,Having deadlines and how much of the content I have mastered
21685,"pace: how i'm feeling like 
time spend: how i'm feeling like and how deep i think i need to/should go into a topic"
21686,"Work, mental health, burnout"
21687,"Mi trabajo, mi rutina diaria y carga de tareas tanto laborales como personales/familiares"
21691,How much time I spend depends on deadlines from school. 
21698,領域知識，一開始可能要一個月熟悉背景與軟體，習慣之後的迭代就越來越快，最後會變成一週，一天一次反饋，scrum 方式執行專案
21699,It depends on the language I am learning. Php I would be deeply interested. SQL the same. JavaScript the same. 
21700,"Factors for my learning pace specifically is how interested I am in the topic at hand. I am interested in a lot of computer science topics, so it is alright but it can get boring at times, which slows me down. I would rather try and learn something difficult about a topic I like than learn something easy about a topic that I dislike, or that is boring. Then the amount of time I spend is influenced by my schoolwork for other classes."
21705,"It depends how interested I am in that specific computer science topic. Another topic could be if there are deadlines coming up for a specific assignment, then I would study the related topics and for longer. "
21711,It all depends on how complex the topic is
21712,"Life in general, currently unemployed and helping around the house. So occasionally, parents and grandparents require me to do all of a sudden and disrupts the learning momentum and takes up time as well"
21713,Mis horarios escolares 
21714,Day to day events can vary suddenly which distrupt my planning for the week
21715,"Sometimes, some new topic just appears and feel interested to learn that and makes the current course is paused "
21716,It depends on the complexity of the topic 
21718,Working hours. I wish I only work eight hours everyweek and five days per week so that I could have more time learning.
21721,How much free time I have to learn.
21723,"Understanding, time, resources"
21724,"My physical and mental health. I couldn't finish my education and find a job multiple times before, because I have bipolar disorder. And now, when I am in remission, I have health problems, that limit the amount of time that I can study each day, but no matter what, I am doing 1 hour minimum. Because I really need to find a job as I am running out of money."
21728,"Distractions, frustration at getting stuck, too much pride to ask for help and no idea how to properly search for solution, short attention span. etc etc etc"
21729,Личная жизнь
21732,"Заинтересованность в курсе, очевидность пользы, которую он принесет. Если курс более теоретический, заниматься неинтересно. "
21733,External factors like extra workload from my employer or chores. 
21737,Ce qui influencent mon rythme est sûrement les projets personnels
21738,"My logic is not good enough, so I spend a lot of time searching for related information and also spend a lot of time organizing it."
21740,"Motivation
How fun it is to learn"
21742,"Interest in topic and follow up projects, tests, or assignments"
21746,as much as the state of health allows
21750,Özel derslerin saatleri
21753,The requirements and deadline of a project.
21755,"Family
Workload"
21758,"El trabajo actual, a veces interfiere de forma importante
La familia inevitablemente interfiere, pero es mas modulable"
21762,La fatiga laboral 
21763,"Environmental factors and I spend about 2 - 3 hours learning
"
21764,"La claridad del curso, el interés que despierte el capacitador, la plataformas que los videos no se congelen y el precio de los cursos "
21767,Workload at my job
21768,El interés y la necesidad de aprendizaje
21773,"It depends on how difficult is the section. My next section is NgRx, I will put more effort. "
21775,Time of day and the density of themsterial
21780,How busy my work week is
21781,La carga de trabajo en mi puesto actual
21782,My life
21787,"I have a 9-5 so my energy levels usually dictate how much time I can study for. Usually if am off-duty, I am to study for 4 - 6 hours each day. My learning pace is influenced by how confident I am that I can apply a certain topic to a real world project or solution"
21791,Work load 
21793,I
21794,Deadlines and the topic.
21800,The timing of classes in college influence the learning pace . i spend 5 hours daily for studying.
21805,Work and family 
21807,free time
21808,"les cours universitaires en informatique
"
21810,Depends on my other tasks basically governs on how much time I spend on learning.
21811,"Depende más que nada de cuestiones relacionadas, al tiempo y los recursos al momento de realizar el estudio."
21814,Work schedule and responsibilities 
21816,How busy I am with other things that week. If I'm interested in the content. If I'm motivated by deadlines
21817,Carga laboral.
21820,Количество работы и сил
21826,Війна
21834,Work and family obligation
21840,Військова служба
21843,"If I have a personal project in mind, or if I feel like this would give me an edge in finding a good job, I will spend a lot more time learning."
21844,Motivation and free time
21846,Exam schedules
21847,"Whether I have school or work, and where I am mentally, sometimes I'm too overwhelmed or depressed. "
21854,"Sometimes I have several tasks in parallel, that could delay my project on learning CS things"
21858,"Актуальность темы , задачи на дом"
21860,"I work full time and some times I lack of ""free time"" for learning purposes "
21864,My motivation and how tired I am
21865,"Work schedule, home schedule"
21866,Solo tiempo libre
21872,Work schedule and other commitments 
21873,I don'r always have the same amount of time to devote to learning. I have to balance it with work and other things.
21876,el estudio de mi carrera 
21882,How hard or new a topic is and practice time it needs
21883,If I have free time for it
21885,If the work I am doing requires me to be doing research or investigation (typically DevOps related tasks) vs. if it's just development work.
21894,More based on time management. Early morning is the best and at evenings since I am busy during the day
21907,"Life - work, family duties, etc."
21908,Depends heavily on free time available
21921,wanting to find new job
21923,"Le temps principalement. C'est parfois assez difficile de jonglé entre l'emploi du temps des cours, et mon temps libre pour apprendre par exemple."
21925,It depends on how much free time I have in regards to school and work
21929,"Workload at my current employment and, frankly, mood"
21932,"Work. My work is a ticket based and I wait for tickets to get assigned to me. While I wait, I study"
21934,"Cuantas ganas tenga de sentarme a aprender, o si tengo que hacer algo quizás ese día ni siquiera le puedo dedicar tiempo "
21939,Deadlines & importance of material
21940,Free time and mental energy
21941,My current Job and Uni work load.
21943,"la organización, y el tiempo empleado para cada tarea. La motivación y el estar en un grupo de estudio."
21949,"How much I have to do, how long I have to do it, and how busy I am otherwise "
21956,Hijos
21957,"Work pressure, family, health"
21958,Depends on my workload and problem I face during workhours. I spend more than 3hours reading through documentation to come up with proof-of-concept or might took many days to come up with a specific solutions.
21960,My free time availability and my state of weariness.
21962,Interes
21969,tareas personales y trabajo
21971,Depends how interested I am in the topic.
21972,"For me hard to swich from one topic to another in short time and when I need take a decision qwikly or to understand something fast.
I need time for rest between lessons."
21976,dependant on if i have other time constraint 
21982,My school courseload helps me to focus and budget my time wisely. If I happen to have more free time I'll spend more of that learning new technologies I'm interested in. 
21984,"University plan, work load"
21987,Gereksiz ve mecburi üniversite dersleri
21990,My mood has great influence on how much time I spend learning.
21995,"Other exams I have to take at the university. Due to that fact, I prefer to study hard for a specific deadline when I know I am free, and later on continue without anything intertwining."
21996,"Time constraints, how much time I have "
22000,Life and time constraints interfere usually.
22003,"Trabajo, familia "
22006,Занятость на работе
22010,Too much work load
22011,"Usually my mental health and my eyesight influence how much time I spend and my learning pace. I am blind in one eye and don't always have the best vision in my good eye, due to diabetes."
22012,Noise
22014,I have a set daily schedule in which I allocate time for learning new content.
22016,"Considero que influye las fechas límites que tengo y que tanta carga de trabajo tengo, a veves prefiero descansar y a veces no puedo"
22018,Mí interés 
22026,"Mostly, I need a calm and non disturbing environment needed for studying. Also an interesting topic or project makes me engaging as workaholic like even I forgot to eat or drink unless i finish my current task. 1-4 hours/day i prefer to study if im in such a condition."
22027,Personal life and level of interest 
22028,Disponibilidad de tiempo.
22030,"I want to improve my skills and i also do this for financially supporting  my family and friends 
"
22031,How many deadlines are pending
22032,Family commitments
22038,Interest
22040,"Principalmente influye mi carga de trabajo de la universidad, si me siento agobiada sería menos probable que trate de destinar horas al estudio autodidacta; por ello trato de poner una hora para empezar a hacerlo pero trato de priorizar lo que es obligatorio que haga, frecuentemente necesito estar inscrita en bootcamps o cursos que requieran una fecha límite para impulsarme a hacer las cosas. "
22041,工作負擔
22042,The level of interest in the topic and how relevant it seems to my future or real life scenarios. 
22043,"The factors are the interest I have in that specific topic and if my tutor is interesting. If the person giving the course or tutorial don't have a catching way to teach, I would not pay my complete attention and maybe just spend few hours learning that."
22051,Mostly due dates for university classes and my work schedule.
22055,"distraction
feedback
deadline"
22067,aucuns
22068,"My hobbies, my character, my family's support"
22069,12
22072,My child
22089,스스로 학습할 수 있는 많은 자료와 문서가 존재하는지 여부
22092,"If I find something interesting, I just get into it. like regex"
22093,"Calm mind and a target
"
22096,"Les devoirs à rendre, les questions de mes collègues étudiants"
22099,"Sleep, Deadlines, how interested I am, exams"
22101,La claridad en la materias y practicando
22103,"How tired I am after my full-time job, my health"
22105,"How well rested I am and the amount of school work I have
"
22114,"1. Difficulty level of the concept.
2. My mental state.
3. Having more knowledge about other topics makes me learning the related topic much easier."
22124,It depends on how difficult the topic is to understand
22126,Need of completing personal projects
22129,Klausuren oder Abgabetermine und Abgabe von bestimmten Projektarbeiten bescheuinigen das tempo.
22130,"It depends on how intense the work at my job is, how much free time I have, and how much I want to learn something new. "
22137,"The peace in my family, psychological factors, and physical issues. If they happen --> average time to solve them from 10% up to 30% per week"
22138,Family and work pressure. 
22140,El tiempo que les puedo dedicar dependiendo de mis otras responsabilidades
22142,"Отвлекающие факторы, мой сети и шум"
22146,"Time, and difficulty."
22148,"Interest and other work
"
22152,the time
22156,الدراسة والتكاليف الجامعية قد تجعلني أكثر انشغالا عن التعلم
22157,"First of all my mood, I Don't Know how much time it's depends on my mood"
22164,My worklife balance
22165,"The amount I studied, around like 7 hours "
22173,mood and sleep
22175,Previous Knowledge of the content
22176,"The difficulty of the topic, amount of time spent on topic in class, my ability to bridge the gap between examples given in class and problem set problems."
22179,"أعمال البيت أقضي 8 ساعات
"
22183,if I did product
22185,What other priorities I have in my life; many unexpected things come up (e.g. family).
22188,If it is interesting
22191,"I usually start the semester with an idealistic mindset, i.e. I hope to dedicate equal time to every course and learn it systematically, but as the semester goes on, I then switch to meeting the deadlines as they converge, even though it comes at the expense of deep learning and understanding."
22195,Exams
22199,One factor is my understanding and the confidence that I have in a topic.
22200,"I chose the field and university with the highest prestige. And in fact - the knowledge presented is very useful. This motivates systematic learning. Unfortunately, due to weekend studies, free time and contacts with family suffer."
22206,"How much free time I have, how engaging the platform is."
22209,"Usually my personal life and university control my time, so I don't have much time for learning. I just try to keep up and whenever I have time I try to take advantage of it by learning, and I'm not sure how much time I spent, I think it was good enough because it was all I can do "
22213,Tal vez la motivación 
22215,Deadline
22216,I am in a university so the assignments are a big factor
22221,个人精力，有精力时会为定好的学习目标用时间学习
22222,Amount I can understand
22227,How much I want to learn new topics.
22229,If im interested in it ill learn it faster
22232,학습과 연관 없는 학교 수업과 과제
22234,Assignments to be done
22237,Work priorities 
22241,Work and motivation
22242,"Estres laboral, otras responsabilidades personales y carga mental"
22246,"En mi caso al padecer TDA aveces me siento mas o menos dispuesto a concentrarme por largos periodos para poder estudiar, el trabajo ya de por si me demanda largas horas de concentración y aveces no puedo consumir toda mi concentración disponible para el día en mis estudios, antes de entrar a trabajar."
22248,La carga de trabajo
22249,life outside work-studying
22250,Mostly external conditions. Learning may be pushed out by other more pressing needs
22253,"Family, work"
22255,"The quantity of other necessary things to do, weather, stress."
22256,Work
22257,The quality of my life. Sometimes i have to stop to find work to be able to have some money so that I can eat and pay my bills.
22259,I study university and have full time job. I study extra whenever I can and still feel to 
22263,Tareas personales
22267,"La famille
La motivation"
22269,How much freelance work I receive from clients.
22276,"Tengo una empresa, le dedico el tiempo que puedo cuando puedo."
22279,Interest and visible results
22280,"environment, work, and family"
22281,Les sujets que j'encontre au travail principalement
22282,"Aucune idée, c'est assez aléatoire"
22285,I'm a very fast learner so I don't need much time to acquire knowledge
22287," Depende muito das minhas dificuldades nas matérias, uma matéria mais difícil eu acabo dedicando mais tempo estudando, e vou deixando as outras mais de lado."
22292,"El tener que cumplir con otras responsabilidades, así como la motivación que tengo"
22294,Ma santé 
22295,Tiempo libre.
22296,"The more data I have to train on, the faster I can learn and improve."
22297,"Lust, Laune, sonstige Aktivitäten die wichtiger sind oder aktuell spannender."
22300,La situación en la que me encuentre
22303,Outside responsibilities 
22304,"It really depends on what the goal is, when I am learning something for a current project I go really fast and learn a lot. When there is no practical application right away I slow down a lot."
22309,"My personal motivation, how much I've slept, stress levels and my hunger. Once external distractions have been eliminated as much as possible and my life is in a relatively steady routine then my own motivation and ability to keep myself from getting distracted becomes the biggest obstacle. The things I want to tinker with and learn about aren't always the things I have to be learning about. Procrastination is also an issue sometimes.. Eg. Currently I'm supposed to be setting up a Kubernetes cluster but I'm busy completing this survey instead"
22311,Interés en la materia
22312,Free time.
22317,"Trabalho, filhos e afazeres de casa."
22321,tiredness
22324,"External factors such as schoolwork, home maintenance, personal maintenance, and motivation can influence how much time I'm able to spend learning."
22325,"Interest, understanding"
22328,"Casi siempre uno o dos días antes de hacer un examen
"
22331,How busy I am at work and at home.
22332,trying to find the most efficient way to solve the problem
22333,"my life is a bit busy between school & searching work, sometimes I do 4h on row studying, other times I can't pass 30min"
22336,"Personally it depends on my schedule for the day. If I have too many lectures, then I need some time to rest and get back to studying. If it is a comparatively relaxed day then I can immediately Start studying.  When I start to feel tired I take a break and then come back to studying so that my brain can absorb stuff better "
22338,본인 의지와 컨디션..
22348,The motivation
22350,curiosité
22352,Le temps disponible
22355,La vie personnelle
22359,Pressure at work regarding deadlines
22360,Le temps disponible que je peut fournir
22362,"Je jongle entre les loisirs, les taches ménagères, les travaux ..."
22367,La nécessité pour mon travail
22375,"Ma propre disponibilité (j'ai d'autres impératifs, si bien que je manque de temps)"
22379,"La curiosité, répondre aux questions que je me pose sur le moment."
22387,"Le rythme professionnel qui conditionne la fatigue;
La motivation;
Les impératifs de projets annexes"
22388,La vie perso et le travail : parfois les semaines pros sont plus intenses et moins de temps pour se consacrer à se former 
22399,Workload
22400,Mostly available time.
22401,Le temps que j'ai a disposition par mon employeur
22404,"Charge de travail, temps libre"
22409,Les congés
22411,Energy levels and sense of mission
22418,curiosité + avancement dans mes projets personnels - préoccupations domestiques et familiales
22422,My normal life
22424,I believe I learn based on the graph of interest and concentration
22430,El tiempo y la carga del trabajo
22435,"Make Enough Time to Learn to meet the balance between family time, working time and personal learning time. usually at night and weekend either sat or sun."
22436,My state of mind is the most important factor
22443,"les facteurs qui m'influence le plus mon rythme de travail c'est lorsque je rencontre un bug et j'arrive pas a le résoudre je peut perdre énormément de temps dessus ou lorsque je ne comprends pas, là je peux mettre mon travail en pose."
22445,La charge de travail et la fatigue mentale 
22453,Le temps disponible pour le faire.
22456,La carga académica en la universidad
22459,Availability of electricity and other items in my schedule.
22460,"Suivant le niveau de travail scolaire que j'ai, je n'ai pas forcément le temps "
22462,Mon envie
22463,Current work.
22466,trabajo
22468,"çalıştığım işyeri yoğunluğu
günlük yolda harcanan zaman
eve aile ortamı eşim ve çocuğum,
günde 5 vrya 6 saat uyku ile 
yorgunluktan ve yoğunluktna vakit ayıramayabiliyorum"
22469,Workload and mental health.
22471,"Motivation, mood"
22482,"Carga de trabalho universitária, problemas de saúde."
22483,"Tests, projects, difficulty of content"
22488,Based on how much other coursework is going 
22490,My mood. Sometimes I feel overwhelmed because I study on my own to transition to become a developer. So motivation is not always here 
22491,"Mostly university classes and personal stuff, but I try to improve myself and learn as much as I can every day."
22492,"My environment (noisy/calm), mood, other assignments, level of difficulty etc..."
22501,Workload and other personal factors
22505,La curiosité est clé 
22507,My workload 
22510,"Most of the time, I spend my time learning concepts that I immediately need as I continue working on personal and academic projects. Only once I finish my project can I relax some time before moving on to the next challenge."
22511,"Time left after school and work, ease of the topic at hand, interest in the topic"
22514,Currently I'm unemployed and I'd like to find a job ASAP so my learning pace and the amount of time I spend learning are heavily influenced by that.
22517,"work necessity, exposure, interest"
22518,Interest I have in the topic; The role the topic plays in achieving my goals; The level of difficulty in relation to my current understanding
22520,le travail
22521,Im working and have other responsibilities. Learning is my 3rd priority.
22523,업무량과 컨디션
22525,emotional state 
22529,Mes contraintes personnelles et professionnelles ainsi que mon niveau de fatigue
22531,是否有足够长的业余时间
22534,"Le temps que j'ai, mais aussi la motivation"
22543,"My goals: growing up in my role and as a developer, finding a new job, learning a new programming language, doing a better job, etc."
22544,"La motivation, le sens de ce que j'apprends, la remise en question par rapport à mon age"
22550,Depends on my familiarity with the topic and also on the clarity of instructions and practice questions
22552,Zamanım okul tempom
22557,Le rythme scolaire 
22565,Les cours inutiles
22566,my current work
22568,залежить від персональної продуктивності. Інколи доводится дотримуватись поставлених цілей не важливо на хорошу чи не дуже продуктивність.
22577,If my GI issues are calmed down. 
22589,Motivation
22591,Uni tasks truly influence my learning curves.
22595,"Learning pace depends on the quality of the environment, less noise and longer times of focus is better. Discipline determines how much time I spend."
22598,"Carga de trabajo, formalidad, relación con la tarea que estoy realizando "
22600,"Workload at my day job, family obligations, general fatigue"
22601,Interest in the language; Consequences/prospects of learning it.
22604,"My personal life (friends, family) and my sleep schedule "
22607,Mi interés.
22608,The amount of free time I have and some complex working tasks that require solution 
22611,Certifications or new technology to keep it up with this crazy fast moving tech world. 
22612,"Availablility of the right resources 
"
22620,"I have to dedicate time between work-load and house duties, as well as adjust to my shift at work (sometimes mornings, afternoons, nights and different days of the week)"
22628,Usually depends on how interesting the topic is and what I intend doing with it.
22635,Temps libre
22637,"I don't like memorizing information. In university there are some subjects that are merely theoretical. I prefer more practical ones, with its theoretical information but linked with the practice. "
22641,Daily tasks.
22644,"Anger and fatigue affect my learning , and I spend between 10-20 hours."
22645,"My learning pace and the time I spend on learning activities are influenced by several factors. These include the complexity of the material I'm studying, my preferred learning style, motivation, and engagement with the material. Additionally, the availability of time, my learning environment, the support and resources I have access to, and how effectively I set goals and plan my study sessions all play a role in determining how much time I dedicate to learning. By considering and managing these factors, I can optimize my learning pace and ensure that I allocate sufficient time to achieve my learning objectives."
22652,지속가능할만큼 본인한테 필요한 학습인지가 중요하다
22653,I think general mood of course. But also sometimes when your goal isnt completly clear it can be hard to set upon what to focus on which then affects the pace and the actual choice of what to study becomes a hinderance.
22664,Motivation
22665,Noise
22666,课程难度太大会让学习变慢，而且容易放弃。
22671,How time i have to assign to my work and exhaust coming from it
22673,"availability, family commitments"
22676,Estoy haciendo un doctorado
22677,Perspective in work. Interest in the project.
22679,Carga de trabajo
22680,La disponibilité et l'envie 
22681,"ADHD, work, any kind of external stress"
22682,"Guía, motivación y consecución objetivos"
22685,How interesting the topics are.
22688,Загруженность на работе
22689,la motivation et le rythme de vie
22704,Not sure 
22717,"Очень важно уметь правильно распределять свое время. Так как я в данный момент работаю на двух part-time работах и очно учусь, выделить время бывает немного тяжело. Поэтому стараюсь выполнять все задания как можно раньше дедлайна и после приступать к своим собственным занятиям. "
22730,"Наличие свободного времени.
"
22731,"Учеба в другом городе, распорядок дня , занятость поступлением "
22733,No distraction and a comfy place.
22734,Mostly my work and other responsibilities 
22735,If I am having a job interview in some period of time then I usually try to allocate as mush possible time to studies to this specific date as I can. If I have nothing planned for me in a foreseeable future then I try spend few hours in evening or at night after work to fully dedicate myself to studies.
22736,Verfügbare Zeit.
22738,I have problems staying focused at times and that impacts how much time i spend studying. This is my main factor. Other factors are life in general. We study 100% from home and it can be a problem since you can become distracted a lot easier than for example at a school. 
22741,"determination , i spend up to 5 hours a day"
22745,Procrastination
22746,Depends on when I have my kids or what college class I am taking at the time
22747,"Ma motivation, mon temps libre"
22752,"If I tend to get stuck on a problem, i can try all day resolving it, but then I will do a pause for about 2 or 3 days before going at it again."
22753,Wieviel Freizeit in der Woche ist
22755,Time constraints and client projects. Also financial burdens such as credits etc. My Turkish wife is also a huge factor.
22756,La famille
22758,Deadlines
22759,Fatigue
22763,Free time
22764,"All depends on my availability, I'm currently unemployed up until next week so I have been spending 40+ hours a week for the last month learning new things. I believe once I get my job next week I will be studying a minimum of 20 hours per week still."
22769,Mes disponibilités
22770,Depending if I have a lot of school work or not. University works conflicts with time I could be dedicating to coding.
22771,the joy of learning new things and applying them to solve problems
22781,Загруженности на текущей неделе
22786,Conciliación de la vida familiar
22787,Je nachdem wie spannend ein Thema ist
22790,relevance to current workload
22792,It is dependant on the work that I need to do with what I am learning and hope that after a few months I can create something with what I have learnt.
22794,"I try to be consistent but the thing that effects my learning pace the most is usually my mood and the things that happen around me (family, etc.)"
22796,schlaf
22800,Familie und Beruf
22806,Workload and Season
22809,"Home commitments, chores, taking care of my pet cats. Also have other subjects that i need to give time to. Would like to find time to give more towards Computer Science, at least 20 hours per week."
22815,"It depends, if I develope a interest to the topic, I will continue to learn it until I run out of time or the topic gets finished, else if the topic is somewhat boring, I am very slowpaced "
22823,Que tan ocupado este con mi trabajo o deberes en el hogar 
22824,"Unviercity courses and exams.
Sometimes motivation"
22825,"Work load, life events."
22826,Time management. University gets in the way and I'm not always in the mood.
22827,"Things that are happening in my life, amount of work that I do as my job, mental health"
22831,Work and family
22833,Depending on what I have planned throughout the week.
22842,Motivation
22844,Depends on how busy I am on work
22853,workload and family
22857,Meu trabalho
22859,"Personal life and other obligations
Intrinsic motivation"
22862,My load at main work. My mood.
22863,Time
22870,How tired I get home after work.
22871,정신적인 요소 ... 업무 후 자발적으로 진행해야하는 공부이기에 이 부분을 이겨내는데 어려움이 있음
22875,昼の仕事量
22876,наличие свободного времени
22879,Retos profesionales y de formación. Certificados y exámenes. Estar presencial en lugares de formación junto con otros prfoesores o tutores o staff y otros estudiantes con los que se pueda interaccionar.
22886,仕事
22899,Mi tdha 
22901,Other things consume your time so plan efficiently 
22903,Si me gusta lo que estoy aprendiendo 
22904,get better and understand how things work 
22907,sacar mi proyectos adelante.
22910,Tiempo libre
22912,Course difficulties 
22913,Work load and free time available
22915,"Work load, private obligations"
22919,"Depends on how interesting the topic is, and how fast I can apply to my day to day work"
22925,interest
22935,"I usually study pretty lazily, unless I have a deadline and need to learn how to do something"
22939,When I am interested in the topics and I am having fun with the projects I am making it motivates me to keep going and invest more time in it.
22946,Tengo familia y es complicado en ocasiones compaginar.
22948,仕事の関係
22950,If there's a deadline then I have to rush more. Also If I need the knowledge as urgently as possible
22953,My schedule impacts my study time the most. 
22954,費用対効果
22956,Work and vocational school schedule.
22958,"las tareas en el hogar, mi vida social y universitaria "
22959,"The amount of assignments I have at university. I spent as much time as I can, around 8 hours everyday. Sometimes 6, sometimes 10"
22961,面白いゲームがあるかどうか
22967,My interest to the topic and my current workload
22972,Environment and learning tools
22973,The amount of work completed in my job that day affects how much I can concentrate after work. Time spent on other activities like sports and commute also reduces my available time for studying.
22975,If i have time 
22976,Work and money
22977,NA
22992,내가 얼마나 잘 이해하고 있는가
22997,"Time tracking down and filling in gapes in knowledge or necessary ""commands."""
22999,Environment and interest 
23013,work live balance
23018,Mainly interest and my spare time
23019,"Workload. If my workload is too heavy, I have no time to study for courses that I paid for. So I will cancel subscriptions for that learning platform."
23023,"Family matters, personal stuff and school"
23025,The feeling after solving a problem by coding is over the moon
23027,Cool and fun. Likely 5hours
23029,Ruhe zur Konzentration und Stress
23040,"Complexity and importance of the topic , how long it takes me to do the same task by my own . "
23041,"If my school schedule is busy or not, if I have to see my relatives,…"
23043,Otras tareas y trabajo.
23045,"개발자 취업을 위한 활동 (서류 지원, 자소서 작성, 면접 준비)"
23046,I like to set a specific goal whether one chapter or one lesson for the day per topic
23047,Motivation for current projects
23049,Home duties and work load at work (when I'm tired I don't think that pushing hard gives any good).
23052,Basically I can study in weekends because I'm working 
23053,Realizar la tarea y mejorar mis abilidades blandas 
23055,"sleep, work load"
23057,"Difficulty of contents, environement"
23058,Motivation and mental energy - if I have to study one concept for longer than a week or two I struggle to maintain focus long enough to truly learn everything it has to offer.
23066,Загруженнность работой и количество часов в сутках.
23067,El trabajo
23073,If I can keep being engaged. Adhd doest always help.
23076,нагруженность 
23077,Motivation und Stress
23078,"charge de travail, besoin de formation pour résoudre un problème, intensité de l'intérêt du moment"
23080,Business need or passion/interest
23086,Factors that influence my learning pace is I get to learn new things and implement in our daily life and for this I spend time based in requirement. 
23087,Tempo livre
23088,"General interest in the topic, on the project and on the deadline."
23089,"workload, family time"
23090,"Stress, responsabilités, charge de travail, sommeil "
23093,"Motivation and applicability. If what I am studying can't be applied to real life problems, then I am unmotivated, thus, I quit and look for another topic "
23094,课程的知识体系
23095,"Puesto que estudio en casa, lo que más influye en el ritmo de aprendizaje es la presencia de miembros de mi familia o visitas. Cuando me encuentro solo puedo dedicarme a ello completamente."
23098,"My learning style, how easily I grasp new concepts, having a strong interest in the subject, also having some related background information helps too, the learning environment, how complex the material is, and how I manage my time."
23099,处理工作和生活的事情
23103,Family and work commitments
23104,Disponer de tiempo 
23106,El tiempo que tengo libre 
23111,"Well, it depends of my homework and I spend like a 7 hour daily "
23115,It depends of my homework and I spend like a 7 hours
23116,Mis actividades escolares o personales 
23117,Assessment schedule 
23128,Lazy，三四个小时。
23143,"Tener un trabajo a tiempo completo, la falta de tiempo, las actividades que tengo programadas para la semana, el estado de ánimo "
23146,Devoirs et fatigue
23148,How much interest I can invest in learning.
23150,uni projects
23152,La santé mentale et les loisirs
23154,"Principalmente demandas no trabalho, quanto mais demanda não planejada e estresse, mais difícil fica conseguir estudar "
23156,Le fait que je sois junior 
23159,Current willingness to learn; also available time and current activity at work.
23160,I like to learn new things and keep updated with new techonologies. I spend about 8 hours a week
23164,Tiempo libre 
23165,diciplina
23173,Free time after work
23189,La falta de tiempo
23191,Lack of motivation.
23195,free time
23196,"Home activities, home work or things I need to do in specific days"
23198,"Knowledge, familiarity, energy, as much as I need"
23200,Money
23201,Tiempo libre
23202,自分の仕事量
23205,"Le fait d'être en cours ou bien en entreprise, la motivation (quand je bloque longtemps ça devient compliqué)"
23207,"Занятость в повседневной жизни, психическое состояние, заинтересованность в изучаемом предмете, здоровая реакция преподавателя на ошибки обучающихся"
23209,I don't want a burnout so diversification is the best thing I can do with my time
23214,"Family, work"
23215,Familie und Job
